index,name,rating,review_count,price,zip_code,id
387,Juniper,4.0,340,$$,63108,YT1oM3AlNSCjzKvbH8MPWA
388,Pickles Deli,4.0,198,$,63108,Fm16G-I-rmO3g_KTKleteQ
389,Rise Coffee House,4.5,270,$$,63110,C2JtfhOZ3PPzIS9V5arQ2A
390,Ted Drewes,4.5,1228,$,63109,nRKndeZLQ3eDL10UMwS2rQ
391,Russell's on Macklind,4.5,495,$$,63109,HzUJO2v5lUEIeYoOYsdWbw
392,Kounter Kulture,5.0,267,$$,63109,SFN5g5eexukcaZkzoiYQYg
393,Edibles & Essentials,4.5,148,$$,63109,hbs43HZRB1nwMzMtiT9lsQ
394,Trattoria Marcella,4.5,329,$$,63109,kpK6SmxIiNoGPNhlEGiL4w
395,Southwest Diner,4.5,667,$$,63143,k8hFz4Gty5dHlDV4Wt8FqA
396,Salt + Smoke BBQ Bourbon Beer,4.5,248,$$,63109,ZIpPvfIGlrxhsAz1ID0tYg
397,Anthonino's Taverna,4.5,826,$$,63110,LGYIhGqbYakMMdsn_GCzJg
398,Aya Sofia,4.0,282,$$,63109,8V9G6dC9sLCGp1LQVrmXwA
399,Adam's Smokehouse,4.5,314,$$,63139,1o9IdLrFGMS2o5Y8uXKC0Q
400,Cafe Nova,4.5,175,$$,63109,sHwNZLuLZvlVBX17b7RgTw
401,Pint Size Bakery & Coffee,4.5,211,$,63139,0cddB9WRKcQhzAEXEav81w
402,Vinnie's Italian Beef and Gyros,4.5,172,$,63139,_-XYJgVGrNMtn_S6nPm-GQ
403,Smoking Barrels BBQ - St. Louis,4.0,264,$$,63109,R_u4QTal0d5f-FHr7BUXcw
404,Farmhaus Restaurant,4.0,314,$$$,63139,vD2jzpPv4iyOLKzITscGvA
405,Copper Pig,4.0,264,$$,63109,tqHbdVDUbPub5l5_OcEWvQ
406,The Gyro Company,4.5,188,$,63109,EPXnaI6YQlmK5VUDAI0o7A
407,Pizzeria Tivoli,4.5,166,$$,63109,CTvHlHQ4jzRO8gkkl4O8zQ
