index,name,rating,review_count,price,zip_code,id
1148,China Garden,2.5,30,$,63123.0,uFr4OHCMb0QOIHeoIrkeQg
1149,The Cheese Shack,4.5,23,$,63044.0,nP6faW-CF50mPG2ziRAc4Q
1151,Truffles,4.5,130,$$$,63124.0,33l2XVp01d8kltTs_UMJ8A
1156,House Of India,4.0,275,$$,63124.0,Yz4BD3vf8-d14j2T2FgYxA
1157,Jilly's Cupcake Bar & Cafe,3.5,435,$$,63124.0,AtQLrRpQan7UtJcIAo9hsA
1158,Companion Ladue Cafe,4.0,146,$$,63124.0,cN8F-BmoHoS9eCqIHMtlHA
1159,Kreis Restaurant,4.0,195,$$$,63131.0,QsxDgLLRXaneBe5DelFpOw
1161,Lester's Restaurants,3.5,151,$$,63124.0,EmN6j5PKKUL7DkXnM267aQ
1162,Sportsman's Park Restaurant,4.0,77,$$,63124.0,kdG6HXfXPk6YKZ6lkURaEg
1167,Weber Grill Restaurant,3.5,259,$$,63117.0,GYnRaQbuxhUA6R4h1WyJ9A
1171,Giovanni's Kitchen,4.0,73,$$,63124.0,bnyT03UR23AWNGN9EJFrAQ
1176,Deer Creek Coffee,3.5,62,$$,63124.0,3H_MN2ecWlBLsUBWrjs8xA
1180,Schneithorst Restaurant & Bar,3.0,194,$$,63131.0,gSLWjGwRqXSq5HzsoP183g
1191,Sugarfire Pie,3.5,78,$$,63132.0,8KN5z81q3RjO-aKFdgvNWw
1193,Shu Feng Restaurant,3.5,91,$$,63132.0,98MWGHFybDPH1lcTIJp9DA
1194,OB Clark's,3.5,83,$$,63144.0,08LQAC48MVFa27YZKahEkg
1195,Trainwreck Saloon,3.5,98,$$,63144.0,BCPpFA_h3l4F73H7ouLrbQ
1196,Godiva Chocolatier Galleria,4.5,18,$$$,63117.0,dUAtskhiZO-MQnCBJRBxxg
1198,Bandana's Bar-B-Q,3.5,60,$$,63119.0,zBM-r0DMUBWlxGr1vEc7fw
1199,Helium Comedy Club,2.5,97,$$,63117.0,uMgd8iyJUoCjC39f2qvqtg
1202,Cafe Telegraph,4.0,200,$$,63125.0,4EbwDR58_1Lm54Oru_Dfxw
1206,Jefferson Barracks Park,4.5,17,$,63125.0,1XsoLhxLB7-iyxaLpoEmUg
1207,Mama Mel's Pizzeria,4.0,32,$,63125.0,PuCdocg7eh_IwSqhip_qUQ
1212,Fergie's Bar & Restaurant,4.0,26,$,63125.0,HTR4v_7fnu6PyaQ1c6UEFw
1220,Donut House,4.5,21,$,63123.0,8JoO_AUqcqjwHiMrRvaGIg
1221,The Beerhouse,3.0,51,$$,63125.0,hJkkXDmu6woTWD300bw09w
1224,Sno-Biz,4.5,11,$,63125.0,l7_TZBVibyGouWfx4oUU1A
1225,Cusanellis,3.0,61,$$,63125.0,Iy_TKazJDFzKziuGedhz1w
1226,1904 Steakhouse,3.5,38,$$$,63125.0,hW8A28dCywtE-HcLNEtjow
1227,China Wok,3.5,29,$,63123.0,SwPoeln3QS9H9cVjHXVoQg
1231,The Great Food Exposition,3.0,30,$$,63125.0,rQGqV0vSF_vhXA1LINBdBQ
1232,Waffle House,4.0,14,$,63125.0,4gz6JurOLglDSf5pH4z1kw
1233,The Dry Dock,3.5,11,$$,63125.0,WasJguDWjpFKcImCRxYsCQ
1234,Burger Brothers,3.0,20,$$,63125.0,Xpg6e0fJ7qkJJ--7jMQ_hQ
1235,Great Wall,3.5,22,$,63125.0,ciRjqF7d8O3NE0lyE38QJg
1236,Lemay Garden,3.5,12,$,63125.0,-xCC-SRYR8mA-_KU0Yi32Q
1237,St. Louis Bread,3.5,24,$,63111.0,WPL_dsH4h6qy4wG9KjCbKw
1244,Steak ’n Shake,3.0,25,$,63125.0,Vm2vdXFSZ7U746n4ySCVtQ
1245,Friendly's Bar And Grill,3.0,16,$,63125.0,bP9wNL13Dekr9HM4el4T7w
1247,Tucker's Bar & Grill,4.5,4,$$,63111.0,PDwrd7JqbD_SidQkOKHpxA
1248,Pizza Hut,2.5,8,$,63125.0,YXroODUXRd961r093VJ6bw
1249,Halfway Haus,3.5,6,$,63111.0,MUMufAyvPxftKqGsskbXdg
1257,Trattoria Toscana,4.0,116,$$,63126.0,VioQ-O-wJYgrW1fta5nhug
1258,El Agave,4.0,93,$$,63126.0,yxQGDJl2t0qrnVV4MO4f0w
1260,Roberto's Trattoria & Chophouse,4.5,130,$$,63128.0,nfDNbJ3eWwudtQCyp2EpSw
1261,San Jose Mexican Restaurant,3.5,113,$$,63126.0,3M2zIKwVz2J63SlNiirgVA
1269,Soco's Gyros,4.0,112,$,63123.0,lB6jIOb1UBATmdfot4KJew
1273,Liliana's Italian Kitchen,4.5,87,$$,63128.0,j45LjJpnaRyml9Jg0wEtCA
1276,Joey Bs,3.5,174,$$,63128.0,h07Yfix2ynwn9fJ3proGXQ
1280,Rich and Charlie's,3.5,79,$$,63126.0,GTO6Nyh9oZDDSySDG4ogNg
1281,Feraros Jersey Style Pizza,4.0,83,$,63128.0,fjBjgnxn51VW04F7wgBK2g
1282,P'sghetti's Pasta & Sandwiches,4.0,80,$,63123.0,24_GowpZ79St53rpxsKqsQ
1286,The Concord Grill,3.5,139,$$,63123.0,ujGvu5TdENPnAsarAw2x6w
1289,Malone's Grill & Pub,4.0,39,$$,63119.0,gu1XBRHx0v4PvFKcEYX65Q
1292,Culver's,4.0,33,$,63122.0,P1W_Tmz-JXx2aOB3TSmGVw
1293,Helen Fitzgeralds,3.0,129,$$,63127.0,lNTXXh_vrIt705lqDlDp5A
1295,54th Street Grill & Bar,3.5,125,$$,63126.0,DfYamqDQNS1RnzeWjOcGPg
1296,Fuddruckers,3.5,72,$$,63127.0,c_cfKwpJz5GuPaNgBbFaIA
1297,Fitz's SoCo,3.5,86,$$,63126.0,eQlMjyOsirwFCH8CiaKrjw
1298,Blaze Fast-Fire'd Pizza,3.5,66,$,63122.0,yjP-n5RpuxsDZZwxDg-FUg
1299,Five Guys,3.5,64,$$,63127.0,Gk_AGnkuSaOlYd6tzsVSqQ
1303,Pad Thai,4.5,254,$$,63128.0,Mgaxy0pJAlhAjdNivhu82A
1320,Walnut Grill - Sunset Hills,3.0,144,$$,63127.0,5EpFbQKQEnTEPIdZkQDQiw
1327,66 Cigar,5.0,7,$$,63127.0,gJwkEWX0b0vxIKQX0_vbrw
1329,LongHorn Steakhouse,3.0,71,$$,63127.0,lR_ka9JYYUpL3se5WnLs1w
1332,Crazy Bowls & Wraps,3.5,44,$,63127.0,GC1XeEHiOLIi2SbNzsoGCw
1334,Hsu's Hunan Yu,3.5,38,$,63126.0,Cq3pmXsd5k4Z9zPlYkTvxQ
1337,Lion's Choice,3.5,26,$,63127.0,pRIaTc_z60jrY7qL0k0Iqg
1338,Chipotle Mexican Grill,3.0,80,$$,63122.0,L8ny0WbdhoZSCicHh_fBCA
1342,Chili's,3.5,55,$$,63122.0,bB-TEdPAZ2H_jL4lz_u5uA
1344,Penn Station East Coast Subs,3.5,23,$,63127.0,LyV__1tUWO178ppBllENmg
1346,Panda Chinese Restaurant,4.0,38,$,63122.0,7VgIPgIV5dDPnoQ8925X2w
1348,Raising Cane's Chicken Fingers,3.5,35,$,63122.0,bsjW6a0dGa2jcIhAFhyUSw
