,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender,name,rating,zip_code,review_count,price,price_num
95,1,1ulD4HL2G8qbpEuuWFDSqQ,E6s0cZzpX-gLduuzNE8qAA,2,Melissa K.,melissa,Female,Himalayan Yeti,4.5,63139,214,$$,2
97,2,1ulD4HL2G8qbpEuuWFDSqQ,cWLm9g6NyowtM3VvCOGZag,1,Sue D.,sue,Female,Himalayan Yeti,4.5,63139,214,$$,2
99,0,24_GowpZ79St53rpxsKqsQ,ptNeR1NIZ0q9-1BEd1USww,5,Chris D.,chris,Male,P'sghetti's Pasta & Sandwiches,4.0,63123,80,$,1
100,1,24_GowpZ79St53rpxsKqsQ,1HyKkSHzL2RWqNrKDQy1uw,5,Mary Margaret M.,mary,Female,P'sghetti's Pasta & Sandwiches,4.0,63123,80,$,1
101,2,24_GowpZ79St53rpxsKqsQ,DQv83U3hFw_IVIOUU9DArA,3,David B.,david,Male,P'sghetti's Pasta & Sandwiches,4.0,63123,80,$,1
102,0,2BMk_drsikKWslJCXmQtjQ,yjWuxHY4MQDDKUxHa7kJvA,4,Jamie B.,jamie,Male,Rooster,4.0,63101,1757,$$,2
107,1,2BMk_drsikKWslJCXmQtjQ,u8w-JcWPKRCpEo_5n9xDpg,2,Trevor P.,trevor,Male,Rooster,4.0,63101,1757,$$,2
112,2,2BMk_drsikKWslJCXmQtjQ,BQsywEAiZWSQuRXUQNGLFw,4,michael d.,michael,Male,Rooster,4.0,63101,1757,$$,2
117,0,2DWqlmcMV9CxzUDYhzY04Q,_laHh0_hl2jm9oAiBLX1aA,5,Lisa R.,lisa,Female,Drake's Place,4.5,63135,78,$$,2
120,1,2DWqlmcMV9CxzUDYhzY04Q,K9_zCgDewCq2zKnWL32NtQ,4,Sara L.,sara,Female,Drake's Place,4.5,63135,78,$$,2
123,2,2DWqlmcMV9CxzUDYhzY04Q,70IuYjpfmr1lrofRQmqHBw,5,Kimberly B.,kimberly,Female,Drake's Place,4.5,63135,78,$$,2
126,0,2P-pvj_jo0SxNe6jih6sOA,LfDVJv2Kwi0mXpq3PjsWTQ,5,Doug M.,doug,Male,J's Pitaria,4.5,63116,62,$,1
128,1,2P-pvj_jo0SxNe6jih6sOA,jX4kAITfOxIBjZk58uP67A,5,Zach H.,zach,Male,J's Pitaria,4.5,63116,62,$,1
130,2,2P-pvj_jo0SxNe6jih6sOA,V0KpaOVX3gBhlsq_7aFqog,1,Selma J.,selma,Female,J's Pitaria,4.5,63116,62,$,1
