zip_code,county,latitude,longitude,Population,ZIP Household Income,ZIP Income Per Capita,Poverty,Unemployment,review_count,pct_female,pct_male,Pop_Rev,Inc_Rev,IncC_Rev,Rev_Pov,M_Rcount,W_Rcount
63111,Saint Louis City,38.559302,-90.25174,21380,26435,16682,7304,1089,863,0.08923076923076922,0.9107692307692308,4.036482694106642,3.264611310762247,5.173240618630859,846.3499420625725,785.9938461538461,77.00615384615384
63112,Saint Louis City,38.661351,-90.28434,19982,34251,25122,5464,1449,1702,0.8450184501845018,0.15498154981549814,8.517665899309378,4.9691979796210335,6.774938301090677,321.0340775558167,263.7785977859778,1438.2214022140222
63113,Saint Louis City,38.656701,-90.24396999999999,11270,24283,16087,4156,1152,76,0.7901234567901234,0.20987654320987653,0.6743566992014197,0.3129761561586295,0.47243115559147136,5468.421052631579,15.950617283950617,60.04938271604938
63114,Saint Louis,38.702651,-90.36109,35530,42744,21498,6503,1279,677,0.7366504854368932,0.2633495145631068,1.9054320292710387,1.583848025453865,3.1491301516420136,960.5612998522895,178.2876213592233,498.71237864077665
63115,Saint Louis City,38.676851,-90.24009000000001,18446,23789,14898,6045,1893,77,0.6607142857142857,0.3392857142857143,0.41743467418410496,0.3236790113077473,0.5168478990468519,7850.649350649352,26.125,50.875
63116,Saint Louis City,38.580552000000004,-90.26307,44175,41273,24673,9304,2002,911,0.6056581986143187,0.3943418013856813,2.0622524052065647,2.2072541370871996,3.6922952214971834,1021.2952799121844,359.24538106235565,551.7546189376443
63117,Saint Louis,38.628402,-90.32636,9097,70680,51963,666,253,1661,0.5064876957494407,0.4935123042505593,18.25876662636034,2.3500282965478214,3.196505205627081,40.09632751354605,819.723937360179,841.2760626398211
63118,Saint Louis City,38.594901,-90.2278,28810,29880,19201,9996,1909,6819,0.7317026378896883,0.2682973621103117,23.66886497743839,22.82128514056225,35.513775324201866,146.59040915090188,1829.5197122302154,4989.480287769784
63119,Saint Louis,38.590652,-90.35168,33894,72214,40836,1869,681,4661,0.5052932080409183,0.4947067919590818,13.751696465451113,6.454427119395131,11.413948476834165,40.09869126796824,2305.8283573212802,2355.17164267872
63120,Saint Louis City,38.691901,-90.25992,9158,23117,13014,3145,1116,11,0.72,0.28,0.12011356191308147,0.04758402906951594,0.08452435838327954,28590.909090909092,3.08,7.92
63121,Saint Louis,38.706301,-90.29609,25276,36366,20434,5630,1673,100,0.04137931034482759,0.9586206896551724,0.3956322202880202,0.2749821261617995,0.4893804443574435,5630.0,95.86206896551724,4.137931034482759
63122,Saint Louis,38.582702000000005,-90.40966,38857,87983,49918,1431,549,3059,0.5367548783747661,0.4632451216252339,7.8724554134390194,3.476808019731084,6.1280500020032855,46.77999346191566,1417.0668270515905,1641.9331729484095
63123,Saint Louis,38.549452,-90.32525,50739,54212,29782,4315,1781,1421,0.3485507246376812,0.6514492753623189,2.8006070281243223,2.6211908802479154,4.771338392317507,303.6593947923997,925.7094202898552,495.29057971014504
63124,Saint Louis,38.645802,-90.37687,10720,121500,94877,450,205,1569,0.5785322359396433,0.42146776406035663,14.636194029850746,1.291358024691358,1.6537200796821145,28.680688336520078,661.2829218106996,907.7170781893003
63125,Saint Louis,38.524066,-90.2895,33089,47520,24556,3770,1058,741,0.28895184135977336,0.7110481586402266,2.2394149112998276,1.5593434343434343,3.01759244176576,508.77192982456137,526.8866855524079,214.11331444759207
63126,Saint Louis,38.552303,-90.37921,14959,69024,35590,703,372,1039,0.20501342882721574,0.7949865711727843,6.945651447289257,1.505273528048215,2.919359370609722,67.66121270452358,825.9910474485229,213.00895255147717
63127,Saint Louis,38.53987,-90.40024,4852,95125,55815,404,62,1002,0.9069239500567536,0.09307604994324632,20.651277823577907,1.0533508541392904,1.7952163396936307,40.31936127744511,93.26220204313282,908.7377979568671
63128,Saint Louis,38.500734,-90.37113000000001,29784,70896,39041,1214,600,903,0.60646521433591,0.39353478566409,3.031829170024174,1.2736966824644549,2.312953049358367,134.44075304540422,355.36191145467325,547.6380885453268
63129,Saint Louis,38.469953000000004,-90.32160999999999,54634,69409,35730,2877,875,1036,0.5956284153005464,0.4043715846994536,1.8962550792546766,1.4926018239709549,2.899524209347887,277.7027027027027,418.9289617486339,617.0710382513661
63130,Saint Louis,38.663951000000004,-90.32348,29488,63382,42794,4433,1205,8210,0.5916344916344917,0.4083655083655084,27.841833966359196,12.953204379792371,19.184932467168295,53.99512789281364,3352.680823680824,4857.319176319176
63131,Saint Louis,38.618582,-90.43643,17631,132827,76494,510,242,1891,0.49657947686116705,0.503420523138833,10.725426805059271,1.423656334931904,2.472089314194577,26.96985721840296,951.9682092555332,939.0317907444669
63132,Saint Louis,38.675784,-90.37463000000001,13861,52654,35401,1832,413,3420,0.38484925259690905,0.6151507474030911,24.67354447731044,6.49523303072891,9.66074404677834,53.567251461988306,2103.8155561185713,1316.184443881429
