nameprimary,gender,first_name,count
AEBM,Not Known,aebm,1
AEDAMAR,Not Known,aedamar,1
AEDE,Female,aede,1
AEDIN,Female,aedin,1
AEDZER,Not Known,aedzer,1
AEF,Not Known,aef,1
AEGIS,Not Known,aegis,1
AEH,Female,aeh,1
AEHM,Not Known,aehm,1
AEJAZ,Male,aejaz,1
AEKYUNG,Female,aekyung,1
AELICIA,Female,aelicia,1
AELISH,Female,aelish,1
AEM,Not Known,aem,1
AEMELIA,Female,aemelia,1
AEN,Female,aen,1
AENEAS,Male,aeneas,1
AENGUS,Male,aengus,1
AERA,Female,aera,1
AERENE,Not Known,aerene,1
AERIA,Female,aeria,1
AERICA,Female,aerica,1
AERNOUT,Male,aernout,1
AEROBEL,Not Known,aerobel,1
AERYN,Female,aeryn,1
AESHA,Female,aesha,1
AESOOK,Female,aesook,1
AET,Not Known,aet,1
AETTA,Not Known,aetta,1
AF,Both,af,1
AFAF,Female,afaf,1
AFAM,Male,afam,1
AFEEF,Not Known,afeef,1
AFEF,Male,afef,1
AFFAN,Male,affan,1
AFFIE,Female,affie,1
AFFONSO,Male,affonso,1
AFFORDABLE,Not Known,affordable,1
AFI,Female,afi,1
AFIA,Female,afia,1
AFIF,Male,afif,1
AFIFA,Female,afifa,1
AFIGO,Not Known,afigo,1
AFIYA,Female,afiya,1
AFIYFA,Female,afiyfa,1
AFKE,Female,afke,1
AFL,Not Known,afl,1
AFLOROAEI,Not Known,afloroaei,1
AFNAN,Not Known,afnan,1
AFOCHA,Not Known,afocha,1
AFOKE,Not Known,afoke,1
AFOLABI,Both,afolabi,1
AFOLAKE,Female,afolake,1
AFOLASHADE,Female,afolashade,1
AFOMA,Female,afoma,1
AFONSO,Male,afonso,1
AFRA,Female,afra,1
AFRAH,Female,afrah,1
AFRANIO,Male,afranio,1
AFRASA,Not Known,afrasa,1
AFRICA,Female,africa,1
AFRIKA,Not Known,afrika,1
AFRODITI,Not Known,afroditi,1
AFSANAE,Not Known,afsanae,1
AFSANEH,Female,afsaneh,1
AFSAR,Male,afsar,1
AFSCHINEH,Female,afschineh,1
AFSHAN,Female,afshan,1
AFSHEEN,Female,afsheen,1
AFSHIN,Male,afshin,1
AFSSARPARI,Not Known,afssarpari,1
AFTAB,Male,aftab,1
AFTAN,Female,aftan,1
AFTEN,Female,aften,1
AFTH,Not Known,afth,1
AFTON,Female,afton,1
AFUA,Female,afua,1
AFZAL,Male,afzal,1
AFZALAH,Not Known,afzalah,1
AFZANA,Female,afzana,1
AG,Both,ag,1
AGA,Female,aga,1
AGAA,Not Known,agaa,1
AGACE,Not Known,agace,1
AGAH,Female,agah,1
AGAPI,Female,agapi,1
AGAPITO,Male,agapito,1
AGASA,Not Known,agasa,1
AGATA,Female,agata,1
AGATHA,Female,agatha,1
AGATHE,Female,agathe,1
AGATHI,Female,agathi,1
AGBESI,Not Known,agbesi,1
AGEE,Male,agee,1
AGELICA,Female,agelica,1
AGELIKI,Not Known,ageliki,1
AGELO,Male,agelo,1
AGELOS,Male,agelos,1
AGENOR,Male,agenor,1
AGERICO,Male,agerico,1
AGG,Not Known,agg,1
AGGELIKI,Female,aggeliki,1
AGGIE,Female,aggie,1
AGGY,Female,aggy,1
AGHAVNI,Female,aghavni,1
AGI,Female,agi,1
AGIDIUS,Not Known,agidius,1
AGIGAIL,Female,agigail,1
AGIS,Male,agis,1
AGIUS,Not Known,agius,1
AGLAE,Female,aglae,1
AGLAIA,Female,aglaia,1
AGLAJA,Female,aglaja,1
AGLAYA,Not Known,aglaya,1
AGMA,Female,agma,1
AGMOS,Not Known,agmos,1
AGNA,Female,agna,1
AGNAR,Male,agnar,1
AGNE,Female,agne,1
AGNEL,Male,agnel,1
AGNES,Female,agnes,1
AGNESE,Female,agnese,1
AGNESI,Not Known,agnesi,1
AGNETA,Female,agneta,1
AGNETE,Female,agnete,1
AGNETHA,Female,agnetha,1
AGNETHE,Female,agnethe,1
AGNEW,Male,agnew,1
AGNIESIKA,Not Known,agniesika,1
AGNIESKA,Female,agnieska,1
AGNIESKZA,Female,agnieskza,1
AGNIESZKA,Female,agnieszka,1
AGNIS,Male,agnis,1
AGNS,Female,agns,1
AGNèS,Not Known,agnès,1
AGNéS,Not Known,agnés,1
AGNŠS,Not Known,agnŠs,1
AGNŠSCLAIRE,Not Known,agnŠsclaire,1
AGOSTINA,Female,agostina,1
AGOSTINHO,Male,agostinho,1
AGOSTINO,Male,agostino,1
AGOSTON,Male,agoston,1
AGOTA,Female,agota,1
AGOTHE,Not Known,agothe,1
AGRAWAL,Female,agrawal,1
AGRI,Female,agri,1
AGRIPPA,Male,agrippa,1
AGRIS,Male,agris,1
AGRON,Male,agron,1
AGS,Not Known,ags,1
AGT,Female,agt,1
AGU,Male,agu,1
AGUEDA,Female,agueda,1
AGUINALDO,Male,aguinaldo,1
AGUNBIADE,Not Known,agunbiade,1
AGUNG,Female,agung,1
AGUS,Male,agus,1
AGUSDIN,Not Known,agusdin,1
AGUSTI,Male,agusti,1
AGUSTIIN,Not Known,agustiin,1
AGUSTIN,Male,agustin,1
AGUSTINA,Female,agustina,1
AGUSTINHO,Male,agustinho,1
AGUSTINUS,Not Known,agustinus,1
AGUSTIYAN,Not Known,agustiyan,1
AGUST¡,Not Known,agust¡,1
AGUST¡N,Not Known,agust¡n,1
AGUSTíN,Not Known,agustín,1
AGW,Not Known,agw,1
AGWU,Not Known,agwu,1
AH,Both,ah,1
AHAB,Male,ahab,1
AHAJI,Not Known,ahaji,1
AHALYA,Female,ahalya,1
AHAM,Female,aham,1
AHAN,Not Known,ahan,1
AHARON,Male,aharon,1
AHARONA,Not Known,aharona,1
AHASSIM,Not Known,ahassim,1
