zip_code,city,latitude,longetude,population,People / Sq. Mile,National Rank,number,State
60637,Chicago,41.780673,-87.6035,"57,090","13,045.69",#403,403, Illinois
90254,Hermosa Beach,33.86532,-118.396336,"18,682","13,041.04",#404,404, California
18101,Allentown,40.603231,-75.469505,"4,124","13,029.04",#405,405, Pennsylvania
53204,Milwaukee,43.018044,-87.926201,"42,382","13,028.28",#406,406, Wisconsin
90024,Los Angeles,34.066303,-118.435479,"44,141","13,019.77",#407,407, California
90016,Los Angeles,34.028331,-118.354338,"46,968","12,970.87",#408,408, California
15224,Pittsburgh,40.463898,-79.945097,"12,095","12,931.62",#409,409, Pennsylvania
20001,Washington,38.907887,-77.017298,"33,550","12,896.65",#410,410, District Of Columbia
60621,Chicago,41.776404,-87.640058,"47,514","12,891.83",#411,411, Illinois
91101,Pasadena,34.146635,-118.139225,"16,809","12,866.99",#412,412, California
10310,Staten Island,40.632516,-74.116461,"22,852","12,829.03",#413,413, New York
90013,Los Angeles,34.044639,-118.240413,"9,727","12,802.44",#414,414, California
91606,North Hollywood,34.187599,-118.387125,"45,348","12,793.58",#415,415, California
1718,Village Of Nagog Woods,42.520314,-71.427867,420,"12,732.57",#416,416, Massachusetts
91801,Alhambra,34.090925,-118.128164,"54,381","12,722.12",#417,417, California
11694,Rockaway Park,40.576906,-73.846381,"19,278","12,713.02",#418,418, New York
94702,Berkeley,37.866009,-122.286228,"15,629","12,649.22",#419,419, California
20712,Mount Rainier,38.943068,-76.96524,"9,067","12,626.91",#420,420, Maryland
19106,Philadelphia,39.950472,-75.147231,"8,359","12,566.59",#421,421, Pennsylvania
91732,El Monte,34.074492,-118.01462,"62,659","12,555.71",#422,422, California
7503,Paterson,40.897455,-74.154174,"19,064","12,549.68",#423,423, New Jersey
92105,San Diego,32.741859,-117.090353,"72,994","12,537.92",#424,424, California
6608,Bridgeport,41.187702,-73.181157,"13,407","12,530.02",#425,425, Connecticut
92104,San Diego,32.741499,-117.127409,"47,688","12,515.21",#426,426, California
60632,Chicago,41.810213,-87.711761,"87,577","12,507.78",#427,427, Illinois
14201,Buffalo,42.896227,-78.886477,"13,609","12,470.26",#428,428, New York
90212,Beverly Hills,34.062095,-118.401508,"11,347","12,465.92",#429,429, California
70116,New Orleans,29.967962,-90.064428,"16,688","12,451.72",#430,430, Louisiana
94610,Oakland,37.808731,-122.238708,"29,963","12,447.98",#431,431, California
94706,Albany,37.890274,-122.295192,"15,865","12,395.49",#432,432, California
90247,Gardena,33.890853,-118.297967,"47,741","12,395.40",#433,433, California
2108,Boston,42.357554,-71.063913,"3,446","12,377.16",#434,434, Massachusetts
90014,Los Angeles,34.043144,-118.251977,"3,518","12,375.13",#435,435, California
90805,Long Beach,33.864622,-118.179626,"91,663","12,363.82",#436,436, California
924,San Juan,18.397636,-66.014388,"62,362","12,360.24",#437,437, Puerto Rico
53206,Milwaukee,43.075167,-87.933692,"32,868","12,347.67",#438,438, Wisconsin
11364,Oakland Gardens,40.74562,-73.757537,"34,539","12,340.99",#439,439, New York
98122,Seattle,47.610445,-122.302983,"28,790","12,332.03",#440,440, Washington
21218,Baltimore,39.330107,-76.601451,"55,059","12,321.98",#441,441, Maryland
22204,Arlington,38.861073,-77.098881,"49,828","12,304.97",#442,442, Virginia
6901,Stamford,41.053558,-73.538219,"6,398","12,303.03",#443,443, Connecticut
11414,Howard Beach,40.658217,-73.84482,"28,121","12,292.73",#444,444, New York
983,Carolina,18.414757,-65.975487,"47,337","12,256.67",#445,445, Puerto Rico
92655,Midway City,33.744439,-117.98588,"8,657","12,242.28",#446,446, California
7029,Harrison,40.743664,-74.152959,"16,766","12,168.54",#447,447, New Jersey
95122,San Jose,37.32886,-121.834567,"59,822","12,165.82",#448,448, California
8611,Trenton,40.205509,-74.753197,"23,868","12,157.61",#449,449, New Jersey
90211,Beverly Hills,34.063947,-118.383001,"8,313","12,140.01",#450,450, California
15213,Pittsburgh,40.443175,-79.955405,"28,320","12,135.47",#451,451, Pennsylvania
8609,Trenton,40.224974,-74.742152,"15,166","12,135.41",#452,452, New Jersey
53210,Milwaukee,43.06891,-87.973688,"30,509","12,119.08",#453,453, Wisconsin
20036,Washington,38.906919,-77.041489,"3,808","12,092.21",#454,454, District Of Columbia
19144,Philadelphia,40.031929,-75.176099,"46,794","12,076.32",#455,455, Pennsylvania
11360,Bayside,40.782352,-73.780749,"19,350","12,040.46",#456,456, New York
90715,Lakewood,33.841027,-118.078097,"20,884","12,039.69",#457,457, California
11005,Floral Park,40.756578,-73.714178,"2,195","12,029.65",#458,458, New York
92704,Santa Ana,33.719869,-117.907063,"91,176","12,023.13",#459,459, California
90260,Lawndale,33.88856,-118.351813,"33,299","12,009.05",#460,460, California
60619,Chicago,41.743383,-87.605811,"74,963","11,991.80",#461,461, Illinois
21223,Baltimore,39.283947,-76.652871,"31,016","11,941.48",#462,462, Maryland
92804,Anaheim,33.818,-117.974404,"81,317","11,910.08",#463,463, California
19124,Philadelphia,40.017119,-75.092814,"63,131","11,899.99",#464,464, Pennsylvania
21213,Baltimore,39.314358,-76.576802,"38,442","11,898.45",#465,465, Maryland
