,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender,name,rating,zip_code,review_count,price,price_num
149,2,08KCenrjRbL7vzfHjdGYyg,NIZZXjbTHpq_Bc0e9mFdSA,4,Suria R.,suria,Female,Estrellita Poblana IV,4.0,10461,164,$$,2
150,0,08qoYiDfMS-e5ua2JPiiAA,dgfDWf6UGqK80uIb8qutHA,5,Christina C.,christina,Female,The Monkey Cup,4.5,10031,151,$,1
151,1,08qoYiDfMS-e5ua2JPiiAA,Om_-UTRGfUHHeAhSFabAaA,3,Lauren S.,lauren,Female,The Monkey Cup,4.5,10031,151,$,1
152,2,08qoYiDfMS-e5ua2JPiiAA,pUvqfyNduqv5KIU2jF10JQ,2,Etienne S.,etienne,Male,The Monkey Cup,4.5,10031,151,$,1
153,0,09y5uyX7z41mjoA9fVF1bQ,yXRe2XabTciKpkr7jwSmQg,5,Karen L.,karen,Female,Tang Restaurant,4.0,11358,586,$$,2
159,1,09y5uyX7z41mjoA9fVF1bQ,FdH9ixCFRBKAGlAAG7QxTA,4,Daniel S.,daniel,Male,Tang Restaurant,4.0,11358,586,$$,2
165,2,09y5uyX7z41mjoA9fVF1bQ,yfyTA9udPniK58RhflL6HA,4,Nathaniel L.,nathaniel,Male,Tang Restaurant,4.0,11358,586,$$,2
171,0,0Gx08zPfwP8tI2Hg4r6AGg,6Z6YVixkn972zVo0RBIQpA,5,Gabriella S.,gabriella,Female,Deluca's Italian Restaurant,4.5,10307,138,$$$,3
173,0,0IWkuFkLzL6lFKRGApZpHg,c-X0upNfZo9hPTANDv65PA,5,Nicole E.,nicole,Female,New York Bagels Deli & Catering,4.0,10704,83,$,1
174,1,0IWkuFkLzL6lFKRGApZpHg,X-wpyLSEHPrk-RVMTBbO7w,2,Brittany G.,brittany,Female,New York Bagels Deli & Catering,4.0,10704,83,$,1
175,2,0IWkuFkLzL6lFKRGApZpHg,qe4voD4MV5gVfYKKpiB8QA,5,Elizabeth R.,elizabeth,Female,New York Bagels Deli & Catering,4.0,10704,83,$,1
176,0,0L03onqNwxWLrbb_FCK79A,6WjgYV3gzy1B-UQUWdEbaQ,5,Darrin N.,darrin,Male,SriPraPhai Thai Restaurant,4.0,11377,2298,$$,2
185,1,0L03onqNwxWLrbb_FCK79A,Zhe0jd1TIqFAmxyH8BI5fA,5,Arjun A.,arjun,Male,SriPraPhai Thai Restaurant,4.0,11377,2298,$$,2
194,1,0NQdEwoaihf-LIWoeKid-A,U3vnGdsB4VONwWyiRec6vg,4,Tiffany L.,tiffany,Female,Blaze Fast-Fire'd Pizza,4.0,10306,71,$,1
195,2,0NQdEwoaihf-LIWoeKid-A,O671-s-mSE-0M5_C9iK45w,3,Nicki A.,nicki,Female,Blaze Fast-Fire'd Pizza,4.0,10306,71,$,1
196,0,0O0DV4tKQkp2lS2wGcg_7A,rQU7k30FB1JZjJ9GixsKNg,5,Luis A.,luis,Male,Bin 5,4.5,10305,344,$$$,3
198,1,0O0DV4tKQkp2lS2wGcg_7A,E63tTUNyQnb7K7bu5vW7TA,4,Gabriella A.,gabriella,Female,Bin 5,4.5,10305,344,$$$,3
200,2,0O0DV4tKQkp2lS2wGcg_7A,ySBt1QEXERxSqalRcLu2LQ,4,Irina V.,irina,Female,Bin 5,4.5,10305,344,$$$,3
202,0,0PqypkmitBHGqXOQrp4DjA,JioedZ0U4bGSVAny0s7DbQ,5,Teresa S.,teresa,Female,Domenico's Pizzeria,4.0,10309,63,$$,2
203,1,0PqypkmitBHGqXOQrp4DjA,aXkCuFI86pel6FCKd5eoXA,2,Greg P.,greg,Male,Domenico's Pizzeria,4.0,10309,63,$$,2
204,0,0SakkRuHhECsDsZ8mRkisQ,0feaHd4gLxnZ5D8l0lm9gw,5,Matt S.,matt,Male,IL Triangolo,4.5,11368,445,$$,2
207,1,0SakkRuHhECsDsZ8mRkisQ,HJuLz2G1W-UUBfn0O-q-Gw,4,Olivia C.,olivia,Female,IL Triangolo,4.5,11368,445,$$,2
