zip_code,Female,Male,total,pct_female,pct_male
11201,25934.0,16078.0,42012.0,0.617299819099305,0.382700180900695
11203,3470.0,2335.0,5805.0,0.5977605512489234,0.40223944875107664
11204,1919.0,843.0,2762.0,0.6947863866763215,0.30521361332367847
11205,10717.0,1958.0,12675.0,0.8455226824457593,0.15447731755424063
11206,9135.0,11336.0,20471.0,0.4462410238874505,0.5537589761125494
11207,1088.0,506.0,1594.0,0.6825595984943539,0.3174404015056462
11208,158.0,706.0,864.0,0.18287037037037038,0.8171296296296297
11209,13840.0,5298.0,19138.0,0.7231685651583237,0.27683143484167627
11210,65.0,374.0,439.0,0.1480637813211845,0.8519362186788155
11211,35468.0,33347.0,68815.0,0.5154108842548862,0.4845891157451137
11214,7297.0,1553.0,8850.0,0.8245197740112994,0.17548022598870056
11215,21939.0,4677.0,26616.0,0.8242786293958522,0.1757213706041479
11216,5864.0,2651.0,8515.0,0.688667058132707,0.311332941867293
11217,13471.0,7258.0,20729.0,0.6498625114573785,0.35013748854262144
11218,5626.0,1405.0,7031.0,0.8001706727350306,0.1998293272649694
11219,796.0,495.0,1291.0,0.616576297443842,0.38342370255615804
11220,7179.0,2930.0,10109.0,0.7101592640221585,0.28984073597784155
11221,603.0,3062.0,3665.0,0.1645293315143247,0.8354706684856753
11222,7082.0,8715.0,15797.0,0.4483129708172438,0.5516870291827563
11223,9855.0,1099.0,10954.0,0.8996713529304363,0.10032864706956363
11224,2136.0,4737.0,6873.0,0.31078131820165866,0.6892186817983413
11225,2529.0,1248.0,3777.0,0.6695790309769658,0.33042096902303414
11226,4651.0,1979.0,6630.0,0.7015082956259426,0.2984917043740573
11228,1348.0,1003.0,2351.0,0.5733730327520205,0.4266269672479796
11229,2825.0,1758.0,4583.0,0.6164084660702597,0.3835915339297403
11230,5546.0,503.0,6049.0,0.9168457596296908,0.08315424037030915
11231,15202.0,5685.0,20887.0,0.7278211327620051,0.27217886723799495
11232,3128.0,931.0,4059.0,0.7706331608770634,0.22936683912293668
11233,4429.0,2391.0,6820.0,0.6494134897360704,0.3505865102639296
11234,3435.0,1585.0,5020.0,0.6842629482071713,0.3157370517928287
11235,11215.0,8343.0,19558.0,0.5734226403517743,0.4265773596482258
