,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender
79,1,2DWqlmcMV9CxzUDYhzY04Q,K9_zCgDewCq2zKnWL32NtQ,4,Sara L.,sara,Female
80,2,2DWqlmcMV9CxzUDYhzY04Q,70IuYjpfmr1lrofRQmqHBw,5,Kimberly B.,kimberly,Female
81,0,2P-pvj_jo0SxNe6jih6sOA,LfDVJv2Kwi0mXpq3PjsWTQ,5,Doug M.,doug,Male
82,1,2P-pvj_jo0SxNe6jih6sOA,jX4kAITfOxIBjZk58uP67A,5,Zach H.,zach,Male
83,2,2P-pvj_jo0SxNe6jih6sOA,V0KpaOVX3gBhlsq_7aFqog,1,Selma J.,selma,Female
84,0,2aZNVfzU-3672SjRHnPoOA,u7NrnJPyAR8Z63sJ5iuegg,5,Vivienne C.,vivienne,Female
85,1,2aZNVfzU-3672SjRHnPoOA,QpmwxBqjh3Tcis3GOR4HqA,5,Cheryl T.,cheryl,Female
86,2,2aZNVfzU-3672SjRHnPoOA,P9doCXFsu-BR-O3MCVCi8Q,4,Faye T.,faye,Female
88,1,2zscMai3s2qePfovwetPcg,LP4TlsrLBhFU-u4u4KEcwg,4,Dave D.,dave,Male
90,0,31_JqV2ZinZ7Uo4DKiKFEQ,sU2KMylA3QVMoW6Ct6rkDQ,4,Nathan T.,nathan,Male
91,1,31_JqV2ZinZ7Uo4DKiKFEQ,Sn1H_JdEl66J_nri_vHcuw,5,Andrew M.,andrew,Male
92,2,31_JqV2ZinZ7Uo4DKiKFEQ,lsA_cKFSO1e1ePQs55OnqQ,4,Valerie K.,valerie,Female
93,0,33l2XVp01d8kltTs_UMJ8A,R5JgicBCFr1PIuRf_b5qqg,5,Amber M.,amber,Female
94,1,33l2XVp01d8kltTs_UMJ8A,bqpua-E7ka04U4iTFknXBg,4,Lizzy L.,lizzy,Female
95,2,33l2XVp01d8kltTs_UMJ8A,4F0j3_zIBBaLOqwT5MVzUw,4,Abigail L.,abigail,Female
96,0,37dCsVwCe8yWPkW7TXCLCA,w_VSvmGwHGk1fF4SAjOq7g,5,Dan J.,dan,Male
97,1,37dCsVwCe8yWPkW7TXCLCA,Unn08ErU_E4ziL2NpLmKWg,4,Zack G.,zack,Male
98,2,37dCsVwCe8yWPkW7TXCLCA,FNrEsXAtsJVAANSy0-5O2g,5,Micah G.,micah,Male
99,0,3AZjEgNM6CiOePDKKAQWgA,diITXEDX93lRG5yB-aYMRw,5,Christina C.,christina,Female
100,1,3AZjEgNM6CiOePDKKAQWgA,eK0aZ4TLMaiHzw5T34y2SA,5,Allen W.,allen,Male
101,2,3AZjEgNM6CiOePDKKAQWgA,_kuQz3sm-293ZFrbjDqarA,5,Chris K.,chris,Male
102,0,3M2zIKwVz2J63SlNiirgVA,WtVnortdVgBcaRNbTsU3nw,5,Cynthia K.,cynthia,Female
103,1,3M2zIKwVz2J63SlNiirgVA,RaMd63P8woE7dRkDy4hTqQ,4,Julie L.,julie,Female
105,0,3VYxaeo6BJNHbVIIfmWN_w,D98kb6fYw94EpGSwEV70Rg,5,Katherine G.,katherine,Female
106,1,3VYxaeo6BJNHbVIIfmWN_w,vAIajmFI6JO3cluR9BjCYg,2,Carol J.,carol,Female
107,2,3VYxaeo6BJNHbVIIfmWN_w,e9mV2EtbH6kr5w5KrNNgXA,4,Maggie H.,maggie,Female
108,0,3XXt0s_SDC9SyFTiIPNSgA,lMvjTTqNOad7rhgKBeJM6g,5,Mohammed B.,mohammed,Male
110,2,3XXt0s_SDC9SyFTiIPNSgA,BSvY6DPZBbWyDS6MXuM21g,2,Marilyn A.,marilyn,Female
111,0,3XirYkP9PJvVXIEDPNNXLA,wRRGaIuyLjUbv_pHbZwcsg,5,Sara L.,sara,Female
112,1,3XirYkP9PJvVXIEDPNNXLA,HdGBSguVXQUNK3lXrrGh-g,3,Danette A.,danette,Female
